Razão Social,Nome Fantasia,CNPJ,Cidade,UF,Todos os telefones extras (exceto de contador),Endereço na Web,URL do Facebook,URL do Instagram,Administrador,E-mails Válidos
ESPACO CASA E JARDIM MOVEIS E DECORACOES LTDA,,08.270.749/0001-60,São bento do sul,SC,"4736332506, 73998057636",http://espacocasaejardim.com.br,facebook.com/Espaço-Casa-Jardim-536621949716510,,JOSE  C. L.,
BORGES INDUSTRIA DE MADEIRAS LTDA,BORGES MADEIRAS,14.012.875/0001-18,Lages,SC,"4933800418, 4932232607, 4932491130, 49999922854",https://borgesmadeiras.com.br/,,instagram.com/borgesmadeirasltda,NADIA  E. D. B.,
ROMETAL COMPONENTES PARA MOVEIS LTDA,ROMETAL COMPONENTES PARA MOVEIS,06.925.691/0001-10,Veranópolis,RS,"5434413100, 54996030708, 54999091202, 9132523665, 91983431679, 44991623020, 44991623521, 44991799807",https://rometal.com.br/,facebook.com/gruporometal,,MARCUS  A. R.,
STEELMAST METALURGICA LTDA,,07.229.006/0001-84,São bento do sul,SC,"4733073500, 4136183022",https://steelmast.com.br/,facebook.com/steelmast,,FRANK  B.,
NORMATIC TRATAMENTOS TERMICOS LTDA.,,09.394.052/0001-64,São josé dos pinhais,PR,"4132834556, 41991485285",http://normatic.com.br,facebook.com/normatictt,,FEDERICO  H.,
IUMMI INDUSTRIA E COMERCIO DE MOVEIS E UTENSILIOS LTDA,IUMMI,10.519.199/0001-12,Bento gonçalves,RS,"5426217030, 54999721099",https://iummi.com.br/,facebook.com/iummioficial,,MARCELO  S.,
GEBB WORK INDUSTRIA DE MOVEIS LTDA,,09.634.476/0001-59,Bento gonçalves,RS,"5434541105, 5434541407, 54999308825",https://gebbwork.com.br/,facebook.com/gebbwork,,VINICIUS  G.,
INDUSTRIA DE URNAS RIGON LTDA.,URNAS RIGON,08.049.117/0001-71,Constantina,RS,"5433631210, 5433631686, 54996161369, 54999174406",https://urnasrigon.com.br/,,instagram.com/urnasrigon,LEONARDO  R.,"leandro@urnasrigon.com.br, leonardo@urnasrigon.com.br, comercial@urnasrigon.com.br, cobranca@urnasrigon.com.br"
CASAMIA INDUSTRIA DE MOVEIS LTDA,CASAMIA,09.584.311/0001-10,Bento gonçalves,RS,5437011902,https://moveiscasamia.com.br/,facebook.com/moveiscasamia,,TIAGO  C. G.,"contato@moveiscasamia.com.br, financeiro@moveiscasamia.com.br, rafael@unimovelrs.com.br, junior@moveiscasamia.com.br, tiago@moveiscasamia.com.br, vendas@moveiscasamia.com.br"
NEW TECH COMPANY SOLUCOES EM MOLDES LTDA,NEW TECH COMPANY SOLUCOES EM MOLDES LTDA,10.536.707/0001-70,Caxias do sul,RS,5435350700,https://ntech.ind.br/,,instagram.com/newtechcompany,VITORIA  J. N.,"vitoria@ntech.ind.br, willian@ntech.ind.br, lucas@ntech.ind.br, wagner@ntech.ind.br, marcio@ntech.ind.br, newtech@ntech.ind.br"
