Razão Social,Nome Fantasia,CNPJ,Cidade,UF,Telefones não atendidos e inválidos (exceto contador),Endereço na Web,URL do Facebook,URL do Instagram,Administrador,E-mails válidos
TORFRESMA INDUSTRIAL LTDA,,72.368.905/0001-20,São miguel do oeste,SC,4936314200,,facebook.com/torfresma,,CLAUDIMAR  B.,"edson.fracaro@torfresma.com, adriano@torfresma.com, waldir@torfresma.com, felipe@torfresma.com"
INTECNIAL S.A. - EM RECUPERACAO JUDICIAL,INTECNIAL,89.432.702/0001-58,Erechim,RS,5421078000,https://intecnial.com.br/,facebook.com/intecnial,,AIRTON  J. F.,"recrutamento@intecnial.com.br, eduardo.marchioro@intecnial.com.br, valdir.nerling@intecnial.com.br, gelson.paska@intecnial.com.br, daniela.brum@intecnial.com.br, juridico@intecnial.com.br, natan.duarte@intecnial.com.br, ezequiel.fontana@intecnial.com.br"
MECANICA BONFANTI SA,,51.378.321/0001-65,Leme,SP,"1935734400, 1935721850",https://bonfanti.com.br/,facebook.com/bonfanti.sa,,ROSEANA  M. B. S.,
GRANEISA EQUIPAMENTOS LTDA,GRANEISA,06.056.462/0001-07,São paulo,SP,1122061369,https://graneisa.com.br/,,,ITALO  B. S.,
JOSE MURILIA BOZZA COMERCIO E INDUSTRIA LTDA EM RECUPERACAO JUDICIAL,,61.103.669/0001-01,São bernardo do campo,SP,1121799966,http://bozza.com.br,,,ELIBE  P. E.,
CISABRASILE LTDA.,,05.120.289/0001-04,Joinville,SC,"4738019053, 4738019090",https://cisabrasile.com.br/,,,,
SIMPRO DO BRASIL LTDA,,02.154.018/0001-73,Betim,MG,"3135922375, 3135913434",https://simprodobrasil.com.br/,,,SIMPRO  S. S. E. M. D. P.,
MONTEFERRO AMERICA LATINA LTDA,MONTEFERRO,03.965.921/0001-87,Cotia,SP,"1146136999, 1147770998, 1147027153",https://monteferro.it/,facebook.com/Monteferro-America-Latina-1687960907914737,,MONTEFERRO  I. B. S.,"idnelson@monteferro.com.br, carlos.mussi@monteferro.com.br, cesar.kirilo@monteferro.com.br, flavio.freire@monteferro.com.br, ricardo.farias@monteferro.com.br, sergio.pedrozo@monteferro.com.br, customer.service@monteferro.it, monteferro@montespain.com, sales@monteferroamerica.com, kumar@monteferro.it"
METROVAL CONTROLE DE FLUIDOS LTDA,,58.762.956/0001-00,Nova odessa,SP,"85986451507, 91991983775, 92991068600, 21979142343",https://metroval.com.br/,facebook.com/Metroval-Controle-de-Fluidos-Ltda-208240265931589,,PAOLO  F.,
PDL SISTEMAS LTDA,,02.358.451/0001-20,Santos,SP,Nenhum telefone válido no momento.,https://pdl.com.br/,,,ROBERTO  L. D. P.,pdl@pdl.com.br
PETROTEC EQUIPAMENTOS PARA CONSTRUCAO CIVIL LTDA,PETROTEC,03.881.568/0001-57,Sertãozinho,SP,16996438895,https://petrotec.com.br/,facebook.com/195765223823446,,CESAR  D. M.,petrotec@petrotec.com.br
SOFIR DO BRASIL CONSTRUCOES INDUSTRIAIS LTDA,SOFIR DO BRASIL,06.313.403/0001-77,Contagem,MG,3121383414,https://sofirdobrasil.com.br/,facebook.com/pages/Sofir-do-Brasil/100779634793819,,MATTEO  M.,orcamentos@sofir-group.com
